0.57         0.2575     0.2137      0.4782      0            0          2    5
0.57         0.7245     0.2137      0.3822      0            0          2    4
0.57         1.0476     0.2137      0.1903      0            0          2    2
0.57         1.3227     0.2137      0.2863      0            0          2    3
1.085        2.2950     0.3094      0.3811      0            0          3    4
3.09         1.9200     0.1898      0.3811      0            0          2    4
3.73         0.9800     0.1419      0.2854      0            0          2    3
0.57        -0.2575     0.2137      0.4872      0            0          2    5
0.57        -0.7245     0.2137      0.3822      0            0          2    4
0.57        -1.0476     0.2137      0.1903      0            0          2    2
0.57        -1.3227     0.2137      0.2863      0            0          2    3
1.085       -2.2950     0.3094      0.3811      0            0          3    4
3.09        -1.9200     0.1898      0.3811      0            0          2    4
3.73        -0.9800     0.1419      0.2854      0            0          2    3
