.8608       .16830      .0508       .32106
.8614       .50810      .0508       .32106
.8628       .84910      .0508       .32106
.8611       1.1899      .0508       .32106
1.0041      1.5169      .13920      .11940      45.0
2.6124      0.4376      0.17320     0.1946                   92.40
2.3733      1.1171      0.1880      0.16920                 108.06
1.2518      1.6019      .23490      .08510
1.6890      1.5874      .16940      .13310
.8608       -.17370     .0508       .32106
.8607       -.51350     .0508       .32106
.8611       -.85430     .0508       .32106
.8630       -1.1957     .0508       .32106
1.0025      -1.5169     .13920      .11940      -45.0
2.6124      -0.4376     0.17320     0.1946                  -92.40
2.3834      -1.1171     0.1880      0.16920                 -108.06
1.2524      -1.6027     .23490      .08510
1.6889      -1.5780     .16940      .13310
